director_name,director_movie_count,director_avg_imdb_score,director_avg_gross
David E. Talbert,1,5.0,21564616.0
David F. Sandberg,1,6.9,56536016.0
David Fincher,10,7.75,86390452.4
David Frankel,4,6.6,84656146.0
David G. Evans,1,6.4,2428241.0
David Gelb,1,5.2,25799043.0
David Gordon Green,8,6.575,18500107.25
David Hackl,2,5.55,52228304.758341506
David Hayter,1,5.3,47726636.51668302
David Hewlett,1,7.0,47726636.51668302
David Hunt,1,6.3,47726636.51668302
David Jacobson,1,6.5,568695.0
David Kellogg,1,4.1,97360069.0
David Koepp,5,6.459999999999999,22001923.8
David LaChapelle,1,7.1,3278611.0
David Lam,1,5.3,47726636.51668302
David Lean,4,8.0,42830500.0
David Leland,2,5.55,23936359.75834151
David Lowery,1,7.3,47726636.51668302
David Lynch,5,7.640000000000001,27254143.406673204
David M. Matthews,1,3.5,2592808.0
David Mamet,2,7.05,6272423.5
David McNally,2,5.0,63760630.5
David Mirkin,1,6.2,40334024.0
David Moreau,1,5.4,31397498.0
David Nixon,1,6.3,2848578.0
David Nutter,1,5.5,17411331.0
David O. Russell,8,6.775,71034548.43958537
David Oelhoffen,1,7.3,47726636.51668302
David Palmer,1,6.1,13746550.0
David Pastor,1,6.0,90820.0
David R. Ellis,6,5.516666666666667,38635832.166666664
David Ray,1,6.8,47726636.51668302
David Raynr,3,5.366666666666667,12311973.666666666
David Robert Mitchell,1,6.9,14673301.0
David S. Goyer,2,5.35,47517777.0
David S. Ward,1,7.2,49797148.0
David Schwimmer,2,6.8,3028592.5
David Silverman,1,7.4,183132370.0
David Sington,1,8.1,1134049.0
David Slade,3,6.2,113700023.66666667
David Soren,1,6.5,83024900.0
David Twohy,4,6.675,38588475.75
David Wain,4,5.75,33246274.629170753
David Webb Peoples,1,6.5,882290.0
David Winning,1,2.8,47726636.51668302
David Winters,1,2.8,47726636.51668302
David Worth,1,6.9,47726636.51668302
David Yates,3,7.2,239336535.0
David Zucker,5,5.26,62037132.0
Davis Guggenheim,3,6.533333333333334,10623990.0
Dean DeBlois,3,7.766666666666667,180052210.33333334
Dean Israelite,1,6.4,22331028.0
Dean Parisot,4,6.275,61353939.5
Dean Wright,1,6.6,5669081.0
Deb Hagan,1,4.6,4693919.0
Deborah Anderson,1,5.3,47726636.51668302
Debra Granik,1,7.2,6531491.0
Deepa Mehta,2,7.8,1875914.5
Demian Lichtenstein,1,5.9,15738632.0
Dena Seidel,1,7.0,4914.0
Denis Villeneuve,3,7.966666666666666,38231814.0
Dennie Gordon,4,5.4,19286641.0
Dennis Dugan,9,5.733333333333333,94664663.55555555
Dennis Gansel,1,7.6,47726636.51668302
Dennis Hopper,1,7.2,47726636.51668302
Dennis Iliadis,1,6.6,32721635.0
Denys Arcand,1,7.7,3432342.0
Denzel Washington,2,7.449999999999999,25652144.5
Deon Taylor,1,4.1,143000.0
Derek Cianfrance,2,7.35,15542428.5
Derick Martini,1,4.5,47726636.51668302
Derrick Borte,1,6.5,1474508.0
Deryck Broom,1,3.7,47726636.51668302
Des McAnuff,1,4.1,26000610.0
Dewey Nicks,1,5.3,4814244.0
Dexter Fletcher,1,7.5,15785632.0
Diane English,1,4.9,26896744.0
Diane Keaton,1,4.7,36037909.0
Dick Richards,1,6.3,1000000.0
Dinesh D'Souza,1,5.1,33349949.0
Dito Montiel,1,5.1,28870.0
Dominic Burns,1,3.1,47726636.51668302
Dominic Sena,3,6.166666666666667,60561607.666666664
Dominique Othenin-Girard,1,5.2,11642254.0
Don Bluth,3,7.0,43047551.666666664
Don Coscarelli,3,6.633333333333333,34245374.67778868
Don Hall,1,7.9,222487711.0
Don Kempf,1,7.5,18642318.0
Don Mancini,1,4.9,17016190.0
Don Michael Paul,2,3.3,10527922.5
Don Scardino,1,5.9,22525921.0
Don Siegel,1,7.6,36500000.0
Don Taylor,1,6.3,47726636.51668302
Donald Petrie,8,5.6625000000000005,42597837.875
Doug Atchison,1,7.5,18811135.0
Doug Block,1,7.5,84689.0
Doug Lefler,1,5.4,5932060.0
Doug Liman,7,7.128571428571428,74148718.14285715
Doug Walker,1,7.1,47726636.51668302
Douglas Aarniokoski,2,4.6,30263913.25834151
Douglas Cheek,1,5.5,47726636.51668302
Douglas McGrath,3,6.3999999999999995,4033164.6666666665
Douglas Trumbull,1,6.7,47726636.51668302
Drake Doremus,1,6.7,3388210.0
Drew Barrymore,1,6.9,13034417.0
Drew Goddard,1,7.0,42043633.0
Dror Moreh,1,7.6,2408553.0
Duane Journey,1,4.3,47726636.51668302
Duke Johnson,1,7.3,3442820.0
Duncan Jones,3,7.566666666666666,35561858.0
Duncan Tucker,1,7.4,9013113.0
Dustin Hoffman,1,6.8,18381787.0
Dwight H. Little,2,5.25,24647196.5
Dylan Bank,1,4.2,47726636.51668302
E. Elias Merhige,2,6.4,8495790.5
E.L. Katz,1,6.8,59379.0
Ed Decter,1,5.9,28972187.0
Ed Gass-Donnelly,1,4.0,15152879.0
Ed Harris,2,6.9,14401958.5
Eddie O'Flaherty,1,6.6,5199.0
Edgar Wright,4,7.6,23645148.25
Edward Burns,4,6.425,16856759.879170753
Edward Dmytryk,1,5.5,47726636.51668302
Edward Hall,1,7.2,47726636.51668302
Edward Norton,1,6.4,37036404.0
Edward Zwick,7,7.242857142857143,56292012.0
Efram Potelle,1,6.1,279282.0
Ekachai Uekrongtham,1,5.7,162.0
Elaine May,1,4.2,14375181.0
Eldar Rapaport,1,6.1,47726636.51668302
Eli Craig,1,7.6,223615.0
Eli Roth,3,5.566666666666667,24002936.0
Elia Kazan,3,7.866666666666667,35017757.67778868
Elizabeth Allen Rosenbaum,2,6.0,22378561.0
Elizabeth Banks,2,5.4,96132575.5
Ellory Elkayem,1,5.4,17266505.0
Emile Ardolino,1,5.7,2119994.0
Emilio Estevez,1,7.0,11204499.0
Emily Dell,1,4.0,47726636.51668302
Emily Young,1,6.5,47726636.51668302
